AppID;Name;Publisher;Owners;Price;Discount;Tags;Genres;Languages;CCU;ScoreRank;AvgPlaytimeForever;AvgPlaytime2Weeks
2616460;Dungeon Keeper 2;Electronic Arts;100,000 .. 200,000;1,99 USD;60%;;;;74;0;0;0
2669320;EA SPORTS FC 25;Electronic Arts;1,000,000 .. 2,000,000;20,99 USD;70%;;;;79330;0;5211;991
2698940;The Crew Motorfest;Ubisoft;100,000 .. 200,000;20,99 USD;70%;;;;1899;0;632;303
2701660;DRAGON QUEST III HD-2D Remake;Square Enix;200,000 .. 500,000;59,99 USD;0%;;;;406;0;1948;0
2717880;The Rogue Prince of Persia;Ubisoft;50,000 .. 100,000;14,99 USD;25%;;;;45;0;323;0
2741560;SimCity 3000 Unlimited;Electronic Arts;50,000 .. 100,000;2,49 USD;50%;;;;50;0;59;0
2750080;The Settlers: New Allies;Ubisoft;20,000 .. 50,000;11,99 USD;70%;;;;103;0;1;0
2751000;Prince of Persia The Lost Crown;Ubisoft;50,000 .. 100,000;19,99 USD;50%;;;;543;0;2718;4677
2840770;Avatar: Frontiers of Pandora;Ubisoft;20,000 .. 50,000;23,09 USD;67%;;;;1561;0;950;68
2840770;Avatar: Frontiers of Pandora;Ubisoft;20,000 .. 50,000;23,09 USD;67%;;;;1561;0;950;68
2842040;Star Wars Outlaws;Ubisoft;20,000 .. 50,000;34,99 USD;50%;;;;1611;0;998;1525
2844850;FANTASIAN Neo Dimension;Square Enix;0 .. 20,000;37,49 USD;25%;;;;52;0;0;0
2853730;Skull and Bones;Ubisoft;50,000 .. 100,000;23,99 USD;40%;;;;175;0;3412;0
3035570;Assassin's Creed Mirage;Ubisoft;100,000 .. 200,000;19,99 USD;60%;;;;1266;0;826;31
